p1	p2	n	r	p.value
protein227	protein59	16	0.254830890328856	0.569
protein228	protein59	16	0.192342252768905	0.687
protein229	protein59	16	0.155957459735983	0.754
protein22	protein59	16	0.0930353729987266	0.851
protein230	protein59	16	-0.0413385785178233	0.962
protein231	protein59	15	0.175419747787647	0.718
protein232	protein59	15	0.158770523656612	0.752
protein233	protein59	15	0.108288805248178	0.831
protein234	protein59	15	0.184365679422708	0.698
protein235	protein59	15	0.220626144905746	0.627
protein236	protein59	15	0.0869327500771329	0.857
protein237	protein59	15	0.0728211099801857	0.877
protein238	protein59	15	0.0880235427747925	0.857
protein239	protein59	16	-0.190097699368855	0.997
protein23	protein59	16	0.0248065325703196	0.934
protein240	protein59	15	0.103549533003702	0.84
protein241	protein59	15	0.098952842203279	0.845
protein242	protein59	15	0.105053959303087	0.836
protein243	protein59	15	0.0395420262997116	0.923
protein244	protein59	16	-0.0897105079547792	0.983
protein245	protein59	16	-0.00585967206483647	0.947
protein246	protein59	16	0.119902110806214	0.813
protein247	protein59	16	0.111702334734487	0.824
protein248	protein59	16	0.110920823768799	0.825
protein249	protein59	16	0.114901129062164	0.82
protein24	protein59	16	-0.0381358174816932	0.962
protein250	protein59	16	0.128746405868165	0.801
protein251	protein59	16	0.0728638007769342	0.877
protein252	protein59	16	0.136004015075553	0.789
protein25	protein59	16	0.19363613214806	0.684
protein266	protein59	16	0.161515676993305	0.747
protein267	protein59	16	0.240795086357908	0.593
protein268	protein59	16	0.0670569059068183	0.889
protein26	protein59	16	-0.021270260524444	0.956
protein27	protein59	16	0.302161892651746	0.457
protein28	protein59	16	-0.030541804959674	0.959
protein29	protein59	16	0.250341771661765	0.58
protein30	protein59	15	-0.0195692298286943	0.951
protein33	protein59	16	-0.0278749328673391	0.958
protein34	protein59	16	0.299365349007032	0.462
protein35	protein59	16	0.0709330834770662	0.882
protein36	protein59	16	-0.0869330371991138	0.981
protein37	protein59	16	0.0813189114876408	0.864
protein38	protein59	16	0.16318367918806	0.744
protein39	protein59	16	0.173951085394529	0.719
protein3	protein59	16	0.357484556894703	0.369
protein40	protein59	16	-0.202501217876443	0.997
protein41	protein59	16	-0.140212981145362	0.994
protein42	protein59	16	-0.0291745044103211	0.958
protein43	protein59	16	-0.00788173752501187	0.948
protein44	protein59	16	-0.0812672794619193	0.979
protein45	protein59	16	-0.0282128080939163	0.958
protein46	protein59	16	-0.155910006211433	0.997
protein47	protein59	16	-0.157810091541386	0.997
protein48	protein59	16	-0.175159195581943	0.997
protein49	protein59	16	0.348715805863928	0.38
protein4	protein59	16	-0.0206064176368328	0.954
protein50	protein59	16	-0.00168119867157407	0.947
protein51	protein59	16	0.187156226124574	0.693
protein52	protein59	16	0.0352272877444868	0.927
protein53	protein59	16	0.134916691405441	0.793
protein54	protein59	16	0.153920191048438	0.758
protein55	protein59	16	-0.120330794869876	0.992
protein56	protein59	16	0.231813603099539	0.605
protein57	protein59	16	-0.00585967206483647	0.947
protein58	protein59	16	0.00735967858469073	0.943
protein100	protein5	16	-0.0541192309375678	0.962
protein101	protein5	16	0.16647190339593	0.737
protein102	protein5	16	0.180771137860725	0.707
protein103	protein5	16	0.0204890903987053	0.937
protein105	protein5	16	0.718721882887413	0.031
protein106	protein5	16	0.856674459762276	0.001
protein107	protein5	15	0.559190682190243	0.118
protein108	protein5	16	0.86293656444658	0.001
protein109	protein5	16	-0.206319325269098	0.997
protein10	protein5	16	0.159224465001621	0.751
protein110	protein5	16	0.143561193191321	0.772
protein111	protein5	16	0.64950908540134	0.058
protein112	protein5	16	0.667431902356341	0.048
protein113	protein5	16	-0.14314532275932	0.995
protein115	protein5	16	0.156367183876008	0.753
protein116	protein5	16	0.0783534764929516	0.872
protein117	protein5	16	0.0822788048607891	0.864
protein11	protein5	16	0.151924478298271	0.761
protein121	protein5	16	0.0662341172600783	0.889
protein122	protein5	16	0.198709856298553	0.676
protein123	protein5	16	-0.0118375871658639	0.95
protein124	protein5	16	0.110957455543271	0.825
protein125	protein5	16	0.155285177355033	0.754
protein126	protein5	15	0.0457396998465872	0.915
protein127	protein5	16	0.229463939229606	0.608
protein128	protein5	15	-0.0441326132102837	0.962
protein129	protein5	15	-0.100094626649729	0.984
protein12	protein5	16	0.170201125418028	0.729
protein130	protein5	15	-0.113524242162166	0.991
protein131	protein5	16	0.0676336510674443	0.887
protein132	protein5	16	0.211127090575488	0.65
protein135	protein5	16	0.131574123385787	0.797
protein136	protein5	16	-0.0237563853548776	0.957
protein138	protein5	16	0.187953054596927	0.691
protein139	protein5	16	0.800533978335228	0.009
protein13	protein5	16	-0.0706885117330839	0.971
protein140	protein5	16	0.736462569385264	0.019
protein141	protein5	16	0.808397605756741	0.008
protein142	protein5	15	0.199562759015157	0.675
protein143	protein5	16	0.775849288143428	0.01
protein144	protein5	16	0.146492958399987	0.767
protein145	protein5	16	0.0338360726716929	0.929
protein146	protein5	16	0.22523217084065	0.614
protein14	protein5	16	0.0145147620206409	0.939
protein150	protein5	16	0.254493275545757	0.57
protein151	protein5	16	0.339671556863474	0.389
protein152	protein5	16	0.148397972935888	0.765
protein153	protein5	15	0.174082775751936	0.719
protein154	protein5	15	0.112065201312152	0.824
protein155	protein5	15	0.130048083511184	0.799
protein156	protein5	15	0.12053241231785	0.812
protein157	protein5	16	0.0582905098085307	0.899
protein158	protein5	16	0.231213196646567	0.606
protein159	protein5	16	0.245577926384631	0.589
protein15	protein5	16	0.162420646014304	0.745
protein160	protein5	16	0.578729376073228	0.103
protein161	protein5	16	0.0295781325225906	0.932
protein162	protein5	16	0.120761972644827	0.812
protein163	protein5	16	0.133257521685852	0.793
protein164	protein5	16	0.118688898661426	0.814
protein165	protein5	16	0.0912152873755241	0.853
protein166	protein5	16	0.129429377169949	0.799
protein167	protein5	16	0.0934471960650076	0.851
protein168	protein5	15	0.0375983532215954	0.924
protein16	protein5	16	0.111409254229845	0.824
protein170	protein5	16	0.215709345411247	0.637
protein171	protein5	16	0.819218473252479	0.005
protein172	protein5	15	0.421747867132057	0.275
protein173	protein5	16	0.888374183624953	0
protein174	protein5	16	-0.0224310405112951	0.956
protein175	protein5	16	0.19101856184491	0.687
protein176	protein5	16	0.191033801784622	0.687
protein178	protein5	16	0.055591643691459	0.902
protein179	protein5	16	0.21647274903635	0.636
protein17	protein5	16	0.0821003693360648	0.864
protein181	protein5	16	0.83963510364747	0.002
protein182	protein5	16	0.758075282939844	0.012
protein183	protein5	16	0.112932588821071	0.821
protein184	protein5	16	0.231990526102021	0.605
protein185	protein5	16	0.229533350576318	0.608
protein186	protein5	16	-0.00652229557325927	0.948
protein187	protein5	15	-0.195306107994386	0.997
protein188	protein5	16	-0.100056310387192	0.984
protein189	protein5	16	0.194246741673881	0.684
protein18	protein5	16	0.0775055739075761	0.874
protein190	protein5	15	0.72639630202834	0.023
protein191	protein5	16	0.0252883999039406	0.934
protein192	protein5	16	-0.0295885473597115	0.958
protein193	protein5	16	-0.201550994629003	0.997
protein194	protein5	15	0.724691392928672	0.027
protein195	protein5	15	0.716075940252162	0.031
protein196	protein5	16	0.159224465001621	0.751
protein197	protein5	15	0.150180139578256	0.762
protein198	protein5	16	0.212850840639399	0.647
protein199	protein5	16	0.205518267178687	0.66
protein19	protein5	16	0.0801400147098668	0.869
protein1	protein5	16	0.0582905098085307	0.899
protein200	protein5	16	0.2176234938279	0.635
protein201	protein5	16	0.21257465259346	0.648
protein202	protein5	16	0.177615336811416	0.716
protein203	protein5	16	0.0350772886527206	0.927
protein204	protein5	16	-0.0352213280015872	0.961
protein205	protein5	16	0.7116941532918	0.032
protein206	protein5	16	0.240632526610748	0.593
protein207	protein5	16	0.813787286994761	0.006
protein208	protein5	16	0.18455395071558	0.697
protein209	protein5	16	0.16483811298365	0.742
protein20	protein5	16	0.159916703931632	0.75
protein210	protein5	16	0.422012653077151	0.275
protein211	protein5	15	0.171704237030667	0.726
protein212	protein5	15	0.141619170914542	0.774
protein213	protein5	16	0.397203226310111	0.309
protein214	protein5	15	-0.0997555596249607	0.984
protein215	protein5	16	0.229914129186818	0.608
protein216	protein5	16	0.106353279090186	0.836
protein217	protein5	15	0.0785224179554654	0.872
protein219	protein5	16	0.197451954866587	0.678
protein21	protein5	16	0.56552256018324	0.109
protein220	protein5	16	0.0134732060066978	0.941
protein221	protein5	16	-0.0596736803286254	0.965
protein222	protein5	16	0.0192403280618122	0.937
protein225	protein5	16	0.121497487977208	0.811
protein226	protein5	16	0.227550721195023	0.609
protein227	protein5	16	0.208656011304968	0.651
protein228	protein5	16	0.12530709783122	0.806
protein229	protein5	16	0.14418284419778	0.771
protein22	protein5	16	-0.0108474162351871	0.95
protein230	protein5	16	0.0366701884135703	0.926
protein231	protein5	15	0.1903707463283	0.688
protein232	protein5	15	0.229484711315908	0.608
protein233	protein5	15	0.203790656963357	0.664
protein234	protein5	15	0.239503945581757	0.594
protein235	protein5	15	0.224053010918429	0.617
protein236	protein5	15	0.253627368971907	0.573
protein237	protein5	15	0.277380860311204	0.513
protein238	protein5	15	0.242813388040692	0.592
protein239	protein5	16	0.372761886814815	0.343
protein23	protein5	16	-0.11737217017835	0.991
protein240	protein5	15	0.328447843910248	0.408
protein241	protein5	15	0.215809548334477	0.637
protein242	protein5	15	0.132260455944753	0.796
protein243	protein5	15	0.18912241088255	0.689
protein244	protein5	16	-0.151790777827237	0.997
protein245	protein5	16	0.212606287521247	0.648
protein246	protein5	16	-0.0227599614046824	0.956
protein247	protein5	16	-0.0146329501756567	0.951
protein248	protein5	16	-0.0168879919079199	0.951
protein249	protein5	16	-0.0172395536685647	0.951
protein24	protein5	16	0.0650358126313415	0.89
protein250	protein5	16	0.140282910233859	0.777
protein251	protein5	16	0.412263386860627	0.286
protein252	protein5	16	0.161346476366185	0.747
protein25	protein5	16	0.196157598304051	0.679
protein266	protein5	16	0.38950584902348	0.317
protein267	protein5	16	0.314431662602384	0.43
protein268	protein5	16	0.48376501480295	0.189
protein26	protein5	16	0.192539557768593	0.686
protein27	protein5	16	-0.0149338025685675	0.951
protein28	protein5	16	-0.108866653928937	0.988
protein29	protein5	16	-0.0801827389409994	0.976
protein30	protein5	15	0.0411978865026803	0.921
protein33	protein5	16	-0.108348250476854	0.988
protein34	protein5	16	0.226331932050365	0.612
protein35	protein5	16	0.188528605637922	0.691
protein36	protein5	16	-0.0123546251423263	0.95
protein37	protein5	16	-0.135907477825273	0.994
protein38	protein5	16	-0.0541140143931108	0.962
protein39	protein5	16	0.0590395008746428	0.898
protein3	protein5	16	0.180935521937281	0.707
protein40	protein5	16	0.072251029951264	0.878
protein41	protein5	16	0.129833570835059	0.799
protein42	protein5	16	-0.11022465935552	0.988
protein43	protein5	16	0.211930559373084	0.648
protein44	protein5	16	0.687571697980532	0.041
protein45	protein5	16	-0.109625058672688	0.988
protein46	protein5	16	0.573189080571866	0.105
protein47	protein5	16	0.837589815349708	0.003
protein48	protein5	16	0.0792350318280299	0.872
protein49	protein5	16	0.226921407687021	0.612
protein4	protein5	16	0.206076404218293	0.658
protein50	protein5	16	0.0275015642090597	0.933
protein51	protein5	16	0.183726592397022	0.699
protein52	protein5	16	0.349990917949457	0.378
protein53	protein5	16	0.139381676451828	0.778
protein54	protein5	16	0.0475571021842764	0.914
protein55	protein5	16	0.00840597067312643	0.942
protein56	protein5	16	0.142041125259799	0.774
protein57	protein5	16	0.212606287521247	0.648
protein58	protein5	16	0.225514073228213	0.613
protein59	protein5	16	-0.0656444393132923	0.967
protein100	protein60	16	-0.0404587957578067	0.962
protein101	protein60	16	0.51416885876584	0.155
protein102	protein60	16	0.508039268370166	0.161
protein103	protein60	16	0.512426614860576	0.157
protein105	protein60	15	-0.24852048791675	1
protein106	protein60	16	0.186189189684432	0.695
protein107	protein60	15	-0.271251747256258	1
protein108	protein60	15	-0.235105709352762	0.999
protein109	protein60	15	-0.0123395676756645	0.95
protein10	protein60	16	0.525265029927859	0.149
protein110	protein60	16	0.553656435003447	0.123
protein111	protein60	16	0.241541452678092	0.593
protein112	protein60	16	0.058360080955267	0.899
protein113	protein60	16	0.425179633223483	0.271
protein115	protein60	16	0.567479880700505	0.108
protein116	protein60	16	0.562101840278328	0.114
protein117	protein60	15	0.124284526027414	0.808
protein11	protein60	16	0.305653464357519	0.449
protein121	protein60	16	-0.0592492251880722	0.965
protein122	protein60	15	-0.0207573913691608	0.954
protein123	protein60	16	0.295496636022471	0.472
protein124	protein60	16	0.417531839773708	0.278
protein125	protein60	16	0.435897533008811	0.262
protein126	protein60	16	0.303698397805992	0.452
protein127	protein60	16	0.555153203051989	0.12
protein128	protein60	16	0.158030374199683	0.753
protein129	protein60	16	0.228787777036019	0.609
protein12	protein60	16	0.295496398299488	0.472
protein130	protein60	16	0.249125175164032	0.582
protein131	protein60	16	0.278370476287703	0.51
protein132	protein60	16	0.572765417977711	0.105
protein133	protein60	15	0.494788598834697	0.173
protein134	protein60	15	0.494788598834697	0.173
protein135	protein60	16	-0.0105301350476639	0.949
protein136	protein60	16	0.307384971600007	0.445
protein138	protein60	16	0.545603948998068	0.126
protein139	protein60	16	0.282681540273515	0.499
protein13	protein60	16	0.614281453362924	0.083
protein140	protein60	16	0.236140523937362	0.597
protein141	protein60	16	0.223320658813338	0.619
protein143	protein60	15	-0.226477892214409	0.999
protein144	protein60	15	0.224176735374248	0.617
protein145	protein60	16	0.271137996801814	0.523
protein146	protein60	15	-0.0571094401006645	0.963
protein14	protein60	16	0.196833109902146	0.678
protein150	protein60	15	-0.111152605212374	0.991
protein151	protein60	15	-0.141183494699179	0.994
protein152	protein60	15	0.0423511266128405	0.92
protein153	protein60	15	-0.154994343842099	0.997
protein154	protein60	15	0.421158950534067	0.276
protein156	protein60	15	0.41104806309372	0.287
protein157	protein60	16	0.223818410913832	0.618
protein158	protein60	15	-0.0310150493613069	0.961
protein159	protein60	16	0.0489632866946313	0.912
protein15	protein60	16	0.2155979933662	0.639
protein160	protein60	16	-0.125930825591977	0.993
protein161	protein60	15	0.343848781393352	0.386
protein162	protein60	16	0.591068771716928	0.1
protein163	protein60	16	0.548990341622594	0.125
protein164	protein60	16	0.552876473463662	0.125
